,Ship Mode,Segment,City,State,Postal Code,Region,Category,Sub-Category,Sales,Quantity,Discount,Profit,Sales_pu,Profit_pu
0,Second Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Bookcases,261.96,2,0.0,41.9136,130.98,20.9568
1,Second Class,Consumer,Henderson,Kentucky,42420,South,Furniture,Chairs,731.94,3,0.0,219.582,243.98000000000002,73.194
2,Second Class,Corporate,Los Angeles,California,90036,West,Office Supplies,Labels,14.62,2,0.0,6.8714,7.31,3.4357
3,Standard Class,Consumer,Fort Lauderdale,Florida,33311,South,Furniture,Tables,957.5775,5,0.45,-383.031,191.5155,-76.6062
4,Standard Class,Consumer,Fort Lauderdale,Florida,33311,South,Office Supplies,Storage,22.368000000000002,2,0.2,2.5164,11.184000000000001,1.2582
5,Standard Class,Consumer,Los Angeles,California,90032,West,Furniture,Furnishings,48.86,7,0.0,14.1694,6.9799999999999995,2.0242
6,Standard Class,Consumer,Los Angeles,California,90032,West,Office Supplies,Art,7.28,4,0.0,1.9656,1.82,0.4914
7,Standard Class,Consumer,Los Angeles,California,90032,West,Technology,Phones,907.1519999999999,6,0.2,90.7152,151.19199999999998,15.1192
8,Standard Class,Consumer,Los Angeles,California,90032,West,Office Supplies,Binders,18.504,3,0.2,5.7825,6.168,1.9275
9,Standard Class,Consumer,Los Angeles,California,90032,West,Office Supplies,Appliances,114.9,5,0.0,34.47,22.98,6.894
10,Standard Class,Consumer,Los Angeles,California,90032,West,Furniture,Tables,1706.184,9,0.2,85.3092,189.576,9.4788
11,Standard Class,Consumer,Los Angeles,California,90032,West,Technology,Phones,911.424,4,0.2,68.3568,227.856,17.0892
12,Standard Class,Consumer,Concord,North Carolina,28027,South,Office Supplies,Paper,15.552,3,0.2,5.4432,5.184,1.8144
13,Standard Class,Consumer,Seattle,Washington,98103,West,Office Supplies,Binders,407.976,3,0.2,132.5922,135.992,44.197399999999995
14,Standard Class,Home Office,Fort Worth,Texas,76106,Central,Office Supplies,Appliances,68.81,5,0.8,-123.85799999999999,13.762,-24.7716
15,Standard Class,Home Office,Fort Worth,Texas,76106,Central,Office Supplies,Binders,2.544,3,0.8,-3.8160000000000003,0.848,-1.272
16,Standard Class,Consumer,Madison,Wisconsin,53711,Central,Office Supplies,Storage,665.88,6,0.0,13.3176,110.98,2.2196000000000002
17,Second Class,Consumer,West Jordan,Utah,84084,West,Office Supplies,Storage,55.5,2,0.0,9.99,27.75,4.995
18,Second Class,Consumer,San Francisco,California,94109,West,Office Supplies,Art,8.56,2,0.0,2.4824,4.28,1.2412
19,Second Class,Consumer,San Francisco,California,94109,West,Technology,Phones,213.48,3,0.2,16.011,71.16,5.337
20,Second Class,Consumer,San Francisco,California,94109,West,Office Supplies,Binders,22.72,4,0.2,7.3839999999999995,5.68,1.8459999999999999
21,Standard Class,Corporate,Fremont,Nebraska,68025,Central,Office Supplies,Art,19.46,7,0.0,5.0596,2.7800000000000002,0.7228
22,Standard Class,Corporate,Fremont,Nebraska,68025,Central,Office Supplies,Appliances,60.34,7,0.0,15.6884,8.620000000000001,2.2412
23,Second Class,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Chairs,71.372,2,0.3,-1.0196,35.686,-0.5098
24,Standard Class,Consumer,Orem,Utah,84057,West,Furniture,Tables,1044.63,3,0.0,240.2649,348.21000000000004,80.0883
25,Second Class,Consumer,Los Angeles,California,90049,West,Office Supplies,Binders,11.648,2,0.2,4.2224,5.824,2.1112
26,Second Class,Consumer,Los Angeles,California,90049,West,Technology,Accessories,90.57,3,0.0,11.7741,30.189999999999998,3.9247
28,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,9.618,2,0.7,-7.0532,4.809,-3.5266
29,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Furniture,Furnishings,124.2,3,0.2,15.525,41.4,5.175
30,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Envelopes,3.264,2,0.2,1.1016,1.632,0.5508
31,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,86.304,6,0.2,9.7092,14.384,1.6181999999999999
32,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Binders,6.858,6,0.7,-5.715,1.143,-0.9525
33,Standard Class,Consumer,Philadelphia,Pennsylvania,19140,East,Office Supplies,Art,15.76,2,0.2,3.5460000000000003,7.88,1.7730000000000001
34,Second Class,Home Office,Houston,Texas,77095,Central,Office Supplies,Paper,29.471999999999998,3,0.2,9.9468,9.824,3.3156
35,First Class,Corporate,Richardson,Texas,75080,Central,Technology,Phones,1097.5439999999999,7,0.2,123.4737,156.79199999999997,17.6391
36,First Class,Corporate,Richardson,Texas,75080,Central,Furniture,Furnishings,190.92,5,0.6,-147.963,38.184,-29.592599999999997
37,Standard Class,Home Office,Houston,Texas,77041,Central,Office Supplies,Envelopes,113.32799999999999,9,0.2,35.415,12.591999999999999,3.935
